Top 30 in network CytoscapeInput-edges-blue.txt ranked by MCC method
Rank,Name,Score
1,Ndufv2,831.0
2,Krtap4-3,826.0
3,Col9a1,818.0
4,Ugp2,815.0
5,LOC691427,804.0
6,Col2a1,800.0
7,Galnt1,798.0
8,Krtap31-1,795.0
9,Smim14,793.0
10,Psd,790.0
11,Pcdhb4,777.0
12,Erlec1,774.0
13,Ifna1,773.0
14,RGD1561589,763.0
15,Gabrg1,756.0
16,Gnai1,748.0
17,H3f3b,730.0
18,Erbin,729.0
19,Opcml,728.0
20,Col11a1,693.0
21,Golph3l,684.0
22,Bcap29,667.0
23,Col4a2,664.0
24,Tmem161a,662.0
25,Itgb3bp,659.0
26,Aldh9a1,654.0
27,Hey2,643.0
27,Slc52a2,643.0
29,RGD1563835,637.0
30,Tmod2,626.0
