Top 30 in network CytoscapeInput-edges-magenta.txt ranked by MCC method
Rank,Name,Score
1,Ifngr2,521.0
2,Cers4,415.0
3,B4galt6,387.0
4,Glmn,373.0
5,Fuca1,323.0
6,Klhl17,321.0
6,Unc13b,321.0
8,Zfyve19,307.0
9,Rhot2,306.0
10,Ermp1,305.0
11,Gtf3c2,287.0
12,Sfxn2,286.0
12,Mtmr14,286.0
14,Ogt,278.0
15,Gucy2f,276.0
16,Madd,269.0
17,Tjap1,263.0
17,Naaa,263.0
19,Gfra1,251.0
20,Glb1,250.0
20,Lrrc14,250.0
22,Arl6ip5,245.0
23,Pde6c,243.0
24,Lrit3,242.0
25,Phf8,239.0
26,Grk1,238.0
27,Tex10,236.0
28,Sema6c,226.0
28,Mgat4a,226.0
30,Fam53b,221.0
